Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 100 candles from Bitunix for ETHUSDT
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,379 - app.scalping_engine - INFO - [Scalping:7675185179] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,380 - app.scalping_engine - INFO - [Scalping:1265990951] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,382 - app.scalping_engine - INFO - [Scalping:5874734020] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,382 - app.scalping_engine - INFO - [Scalping:2107355248] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,383 - app.scalping_engine - INFO - [Scalping:5187148337] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,384 - app.scalping_engine - INFO - [Scalping:7338184122] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,384 - app.scalping_engine - INFO - [Scalping:6954315669] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,385 - app.scalping_engine - INFO - [Scalping:5366384434] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,385 - app.scalping_engine - INFO - [Scalping:8429733088] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,386 - app.scalping_engine - INFO - [Scalping:1187119989] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,386 - app.scalping_engine - INFO - [Scalping:985106924] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,391 - app.scalping_engine - INFO - [Scalping:7582955848] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,392 - app.scalping_engine - INFO - [Scalping:312485564] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,392 - app.scalping_engine - INFO - [Scalping:1766523174] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,392 - app.scalping_engine - INFO - [Scalping:1087836223] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,393 - app.scalping_engine - INFO - [Scalping:8030312242] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,394 - app.scalping_engine - INFO - [Scalping:7972497694] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:35 vmi3177971 python3[490155]: 2026-04-13 06:37:35,395 - app.scalping_engine - INFO - [Scalping:1156155004] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
